Year,Année,ISO,Jurisdiction,Juridiction,Product,Produit,Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1992,1992,MB,Manitoba,Manitoba,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,MB,Manitoba,Manitoba,Other insecticides,Autres insecticides,0,a,0,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Other insecticides,Autres insecticides,9000,a,9000,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),82271,a,82271,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Fenitrothion,Fénitrothion,178506,a,178506,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other insecticides,Autres insecticides,0,a,0,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),8295,a,8295,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Other insecticides,Autres insecticides,0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),,n,,n
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Fenitrothion,Fénitrothion,,n,,n
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Other insecticides,Autres insecticides,,n,,n
1992,1992,ON,Ontario,Ontario,Other insecticides,Autres insecticides,626,a,626,a
1992,1992,ON,Ontario,Ontario,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,ON,Ontario,Ontario,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Other insecticides,Autres insecticides,0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,QC,Quebec,Québec,Other insecticides,Autres insecticides,0,a,0,a
1992,1992,QC,Quebec,Québec,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),5746,a,5746,a
1992,1992,QC,Quebec,Québec,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,SK,Saskatchewan,Saskatchewan,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),7800,a,7800,a
1992,1992,SK,Saskatchewan,Saskatchewan,Fenitrothion,Fénitrothion,0,a,0,a
1992,1992,SK,Saskatchewan,Saskatchewan,Other insecticides,Autres insecticides,0,a,0,a
1992,1992,YT,Yukon,Yukon,Other insecticides,Autres insecticides,0,a,0,a
