Year,Année,ISO,Jurisdiction,Juridiction,Revenues,Revenus,Value (dollars),Data qualifier,Valeur (en dollar),Qualificatifs de données
1991,1991,SK,Saskatchewan,Saskatchewan,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",38000,a,38000,a
1991,1991,SK,Saskatchewan,Saskatchewan,Sales and rentals,Ventes et locations,11000,a,11000,a
1991,1991,SK,Saskatchewan,Saskatchewan,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",64000,a,64000,a
1991,1991,SK,Saskatchewan,Saskatchewan,Protection fees,Coût de protection du territoire,20000,a,20000,a
1991,1991,SK,Saskatchewan,Saskatchewan,Reforestation levies,Droits de reboisement,766000,a,766000,a
1991,1991,SK,Saskatchewan,Saskatchewan,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1991,1991,SK,Saskatchewan,Saskatchewan,Rent charges,Frais de location,0,a,0,a
1991,1991,SK,Saskatchewan,Saskatchewan,Stumpage charges,Droits de coupe,2625000,a,2625000,a
1991,1991,YT,Yukon,Yukon,Stumpage charges,Droits de coupe,,u,,u
1991,1991,YT,Yukon,Yukon,Rent charges,Frais de location,,u,,u
1991,1991,YT,Yukon,Yukon,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1991,1991,YT,Yukon,Yukon,Reforestation levies,Droits de reboisement,0,a,0,a
1991,1991,YT,Yukon,Yukon,Protection fees,Coût de protection du territoire,,u,,u
1991,1991,YT,Yukon,Yukon,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1991,1991,YT,Yukon,Yukon,Sales and rentals,Ventes et locations,0,a,0,a
1991,1991,YT,Yukon,Yukon,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a
1992,1992,AB,Alberta,Alberta,Stumpage charges,Droits de coupe,,u,,u
1992,1992,AB,Alberta,Alberta,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,u,,u
1992,1992,AB,Alberta,Alberta,Sales and rentals,Ventes et locations,,u,,u
1992,1992,AB,Alberta,Alberta,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",,u,,u
1992,1992,AB,Alberta,Alberta,Reforestation levies,Droits de reboisement,,u,,u
1992,1992,AB,Alberta,Alberta,Area/holding charges,Droits de location ou de jouissance,,u,,u
1992,1992,AB,Alberta,Alberta,Rent charges,Frais de location,,n,,n
1992,1992,AB,Alberta,Alberta,Protection fees,Coût de protection du territoire,,n,,n
1992,1992,BC,British Columbia,Colombie-Britannique,Stumpage charges,Droits de coupe,673469000,a,673469000,a
1992,1992,BC,British Columbia,Colombie-Britannique,Rent charges,Frais de location,17268000,a,17268000,a
1992,1992,BC,British Columbia,Colombie-Britannique,Area/holding charges,Droits de location ou de jouissance,,u,,u
1992,1992,BC,British Columbia,Colombie-Britannique,Reforestation levies,Droits de reboisement,,u,,u
